"Model","Panel","Trait","CV","Repetition","Fold","PA"
"M2","genome-wide","DTF","CV0","1","1",0.51995
"M3","genome-wide","DTF","CV0","1","1",0.5193
"M2","haplotype-tagged","DTF","CV0","1","1",0.51565
"M3","haplotype-tagged","DTF","CV0","1","1",0.5156
"M2","genome-wide","DTM","CV0","1","1",0.3393
"M3","genome-wide","DTM","CV0","1","1",0.33705
"M2","haplotype-tagged","DTM","CV0","1","1",0.33695
"M3","haplotype-tagged","DTM","CV0","1","1",0.33925
"M2","genome-wide","HSW","CV0","1","1",0.67475
"M3","genome-wide","HSW","CV0","1","1",0.67555
"M2","haplotype-tagged","HSW","CV0","1","1",0.67765
"M3","haplotype-tagged","HSW","CV0","1","1",0.6789
"M2","genome-wide","PH","CV0","1","1",0.5976
"M3","genome-wide","PH","CV0","1","1",0.59955
"M2","haplotype-tagged","PH","CV0","1","1",0.6009
"M3","haplotype-tagged","PH","CV0","1","1",0.5954
"M2","genome-wide","PPP","CV0","1","1",0.14195
"M3","genome-wide","PPP","CV0","1","1",0.11985
"M2","haplotype-tagged","PPP","CV0","1","1",0.10615
"M3","haplotype-tagged","PPP","CV0","1","1",0.09735
"M2","genome-wide","YPPlnt","CV0","1","1",0.18845
"M3","genome-wide","YPPlnt","CV0","1","1",0.17775
"M2","haplotype-tagged","YPPlnt","CV0","1","1",0.1688
"M3","haplotype-tagged","YPPlnt","CV0","1","1",0.1615
"M2","genome-wide","DTF","CV00","1","1",0.30655
"M3","genome-wide","DTF","CV00","1","1",0.2757
"M2","haplotype-tagged","DTF","CV00","1","1",0.09225
"M3","haplotype-tagged","DTF","CV00","1","1",0.08615
"M2","genome-wide","DTM","CV00","1","1",0.159
"M3","genome-wide","DTM","CV00","1","1",0.1394
"M2","haplotype-tagged","DTM","CV00","1","1",0.1254
"M3","haplotype-tagged","DTM","CV00","1","1",0.01705
"M2","genome-wide","HSW","CV00","1","1",0.6671
"M3","genome-wide","HSW","CV00","1","1",0.67595
"M2","haplotype-tagged","HSW","CV00","1","1",0.5196
"M3","haplotype-tagged","HSW","CV00","1","1",0.4788
"M2","genome-wide","PH","CV00","1","1",0.46785
"M3","genome-wide","PH","CV00","1","1",0.45215
"M2","haplotype-tagged","PH","CV00","1","1",0.4251
"M3","haplotype-tagged","PH","CV00","1","1",0.52065
"M2","genome-wide","PPP","CV00","1","1",0.23715
"M3","genome-wide","PPP","CV00","1","1",0.2218
"M2","haplotype-tagged","PPP","CV00","1","1",0.2551
"M3","haplotype-tagged","PPP","CV00","1","1",0.2077
"M2","genome-wide","YPPlnt","CV00","1","1",0.16075
"M3","genome-wide","YPPlnt","CV00","1","1",0.151
"M2","haplotype-tagged","YPPlnt","CV00","1","1",0.11965
"M3","haplotype-tagged","YPPlnt","CV00","1","1",0.1848
"M2","genome-wide","DTF","CV1","1","1",0.471711111111111
"M3","genome-wide","DTF","CV1","1","1",0.417333333333333
"M2","haplotype-tagged","DTF","CV1","1","1",0.350811111111111
"M3","haplotype-tagged","DTF","CV1","1","1",0.275888888888889
"M2","genome-wide","DTM","CV1","1","1",0.355688888888889
"M3","genome-wide","DTM","CV1","1","1",0.351633333333333
"M2","haplotype-tagged","DTM","CV1","1","1",0.327311111111111
"M3","haplotype-tagged","DTM","CV1","1","1",0.284888888888889
"M2","genome-wide","HSW","CV1","1","1",0.612155555555556
"M3","genome-wide","HSW","CV1","1","1",0.589133333333333
"M2","haplotype-tagged","HSW","CV1","1","1",0.561377777777778
"M3","haplotype-tagged","HSW","CV1","1","1",0.577611111111111
"M2","genome-wide","PH","CV1","1","1",0.462255555555556
"M3","genome-wide","PH","CV1","1","1",0.460888888888889
"M2","haplotype-tagged","PH","CV1","1","1",0.474322222222222
"M3","haplotype-tagged","PH","CV1","1","1",0.466711111111111
"M2","genome-wide","PPP","CV1","1","1",0.180588888888889
